input,output,description,source,license
"A black and white silhouette of the Roman Colosseum, depicted in a simplified and stylized manner.","<?xml version=""1.0"" encoding=""iso-8859-1""?>
<!-- Generator: Adobe Illustrator 19.0.0, SVG Export Plug-In . SVG Version: 6.00 Build 0)  -->
<svg version=""1.1"" id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" x=""0px"" y=""0px""
	 viewBox=""0 0 490.667 490.667"" style=""enable-background:new 0 0 490.667 490.667;"" xml:space=""preserve"">
<g>
	<g>
		<path d=""M490.005,241.808c-23.616-64.149-150.485-70.677-194.325-70.997l-18.901-56.683c-1.045-3.115-3.477-5.611-6.571-6.677
			l-26.091-9.173l-20.992-48.981c-1.6-3.755-5.227-6.251-9.323-6.443c-4.928-0.235-9.963-0.363-15.019-0.363
			c-70.08,0-163.904,23.979-197.696,91.563C0.384,135.547,0,137.19,0,138.832v298.667c0,2.944,1.216,5.76,3.371,7.765
			c2.133,2.027,5.013,3.115,7.979,2.88l31.339-1.877v-51.435c0-17.643,14.357-32,32-32c17.643,0,32,14.357,32,32v47.829
			l21.333-1.088v-57.408c0-17.643,14.357-32,32-32s32,14.357,32,32v54.613c7.445-0.277,14.549-0.512,21.333-0.683v-64.597
			c0-17.643,14.357-32,32-32c17.643,0,32,14.357,32,32v64.725c6.677,0.213,13.76,0.469,21.333,0.789v-54.848
			c0-17.643,14.357-32,32-32c17.643,0,32,14.357,32,32v57.749l21.333,1.067v-48.149c0-17.643,14.357-32,32-32
			c17.643,0,32,14.357,32,32v51.541l31.381,1.771c0.192,0.021,0.384,0.021,0.597,0.021c2.709,0,5.333-1.045,7.317-2.923
			c2.133-2.005,3.349-4.821,3.349-7.744v-192C490.667,244.24,490.453,243.003,490.005,241.808z M106.667,304.55
			c0,5.675-4.437,10.347-10.091,10.645l-42.624,2.389c-0.192,0.021-0.405,0.021-0.619,0.021c-2.709,0-5.333-1.045-7.317-2.923
			c-2.133-2.005-3.349-4.821-3.349-7.744v-40.107c0-17.643,14.357-32,32-32c17.643,0,32,14.357,32,32V304.55z M106.667,187.216
			c0,5.675-4.437,10.347-10.091,10.645l-42.624,2.389c-0.192,0.021-0.405,0.021-0.619,0.021c-2.709,0-5.333-1.045-7.317-2.923
			c-2.133-2.005-3.349-4.821-3.349-7.744v-40.107c0-17.643,14.357-32,32-32c17.643,0,32,14.357,32,32V187.216z M192,300.475
			c0,5.739-4.523,10.432-10.24,10.667c-13.781,0.533-28.181,1.173-42.581,1.856c-0.171,0.021-0.341,0.021-0.512,0.021
			c-2.731,0-5.376-1.045-7.36-2.944c-2.112-2.027-3.307-4.821-3.307-7.723v-46.187c0-17.643,14.357-32,32-32
			c17.643,0,32,14.357,32,32V300.475z M192,183.142c0,5.739-4.523,10.432-10.24,10.667c-13.781,0.533-28.181,1.173-42.581,1.856
			c-0.171,0.021-0.341,0.021-0.512,0.021c-2.731,0-5.376-1.045-7.36-2.944c-2.112-2.027-3.307-4.821-3.307-7.723v-46.187
			c0-17.643,14.357-32,32-32c17.643,0,32,14.357,32,32V183.142z M277.333,299.216c0,2.88-1.173,5.653-3.221,7.637
			c-1.984,1.941-4.672,3.029-7.445,3.029h-0.299c-17.515-0.469-27.605-0.405-42.155-0.085c-2.901-0.085-5.653-1.045-7.68-3.051
			c-2.048-2.005-3.2-4.757-3.2-7.616v-53.632c0-17.643,14.357-32,32-32c17.643,0,32,14.357,32,32V299.216z M362.667,302.715
			c0,2.923-1.195,5.717-3.307,7.723c-1.984,1.899-4.629,2.944-7.36,2.944c-0.171,0-0.341,0-0.512-0.021
			c-14.592-0.704-28.992-1.365-42.603-1.941c-5.717-0.256-10.219-4.949-10.219-10.667v-44.587c0-17.643,14.357-32,32-32
			c17.643,0,32,14.357,32,32V302.715z M444.672,314.854c-1.984,1.877-4.608,2.923-7.339,2.923c-0.192,0-0.384,0-0.576-0.021
			l-42.645-2.261c-5.675-0.299-10.112-4.971-10.112-10.645v-38.016c0-17.643,14.357-32,32-32c17.643,0,32,14.357,32,32v40.277h0
			C448,310.054,446.784,312.848,444.672,314.854z""/>
	</g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
</svg>
",description : roman colossion silhouette cliparta black and white silhouette of a roman colossion,instruct-svg,CC0
"A black and white graphic of a three-dimensional cube, layered in a way that suggests depth and perspective.","<?xml version=""1.0"" encoding=""iso-8859-1""?>
<!-- Generator: Adobe Illustrator 19.0.0, SVG Export Plug-In . SVG Version: 6.00 Build 0)  -->
<svg version=""1.1"" id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" x=""0px"" y=""0px""
	 viewBox=""0 0 512.018 512.018"" style=""enable-background:new 0 0 512.018 512.018;"" xml:space=""preserve"">
<g>
	<g>
		<path d=""M512.009,106.652c0-0.491-0.019-0.977-0.051-1.457c-0.011-0.166-0.032-0.331-0.047-0.497
			c-0.028-0.313-0.058-0.626-0.099-0.935c-0.031-0.235-0.071-0.468-0.11-0.701c-0.036-0.216-0.073-0.432-0.115-0.646
			c-0.061-0.313-0.132-0.624-0.207-0.935c-0.021-0.087-0.043-0.173-0.066-0.259c-1.492-5.847-5.424-11.125-11.813-13.978
			c-0.5-0.228-1.01-0.434-1.527-0.624c-0.002-0.001-0.005-0.002-0.007-0.003l-0.091-0.033c-0.172-0.062-0.341-0.129-0.515-0.187
			L263.3,1.284c-4.709-1.713-9.872-1.713-14.581,0L14.658,86.398c-0.171,0.057-0.338,0.123-0.507,0.185l-0.098,0.036
			c-0.003,0.001-0.005,0.002-0.008,0.003c-0.517,0.19-1.027,0.395-1.527,0.624c-6.39,2.852-10.322,8.131-11.813,13.978
			c-0.022,0.086-0.044,0.172-0.066,0.259c-0.075,0.31-0.145,0.621-0.207,0.934c-0.043,0.215-0.079,0.432-0.116,0.65
			c-0.038,0.232-0.079,0.464-0.109,0.697c-0.042,0.311-0.071,0.625-0.1,0.941c-0.015,0.164-0.035,0.327-0.046,0.491
			c-0.033,0.486-0.052,0.977-0.052,1.473v298.667c0,8.971,5.612,16.983,14.043,20.049l234.667,85.333
			c0.002,0.001,0.005,0.001,0.007,0.002c1.641,0.601,3.364,1.005,5.135,1.185c0.038,0.004,0.075,0.009,0.113,0.013
			c0.328,0.032,0.658,0.052,0.988,0.068c0.123,0.006,0.245,0.016,0.368,0.02c0.226,0.007,0.453,0.005,0.68,0.005
			c0.227,0,0.454,0.002,0.68-0.005c0.122-0.004,0.245-0.014,0.368-0.02c0.331-0.016,0.661-0.037,0.988-0.068
			c0.038-0.004,0.075-0.009,0.113-0.013c1.771-0.18,3.493-0.584,5.135-1.185c0.002-0.001,0.005-0.001,0.007-0.002l234.667-85.333
			c8.431-3.066,14.043-11.078,14.043-20.049V106.668C512.009,106.663,512.009,106.658,512.009,106.652z M234.676,206.943v42.46
			l-192-52.364v-59.915L234.676,206.943z M42.676,241.264l192,52.364v62.442l-192-52.364V241.264z M256.009,44.033l172.242,62.633
			L256.009,169.3L83.768,106.667L256.009,44.033z M42.676,347.931l192,52.364v59.915l-192-69.818V347.931z M469.343,390.391
			l-192,69.818V206.943l128.676-46.791l63.324-23.027V390.391z""/>
	</g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
</svg>
",description : free icon of a black and white cubea black and white image of a cube with three layers,instruct-svg,CC0
"A black and white icon depicting a thumbs up symbol, which is combined with a lock symbol.","<?xml version=""1.0"" encoding=""iso-8859-1""?>
<!-- Generator: Adobe Illustrator 19.1.0, SVG Export Plug-In . SVG Version: 6.00 Build 0)  -->
<svg version=""1.1"" id=""Capa_1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" x=""0px"" y=""0px""
	 viewBox=""0 0 484 484"" style=""enable-background:new 0 0 484 484;"" xml:space=""preserve"">
<g>
	<g>
		<path d=""M271.1,411.311h-53.5h-6h-58.5c-20.6,0-37.4-16.8-37.4-37.4v-164.4l4.3-1.4c2.6-0.8,22.9-6.9,43.3-21.4
			c29.4-20.8,44.9-48.8,44.9-80.9v-65.7c9.1-1.3,23.7-1.8,34.4,6.1c10.1,7.5,15.3,21.8,15.3,42.4v77.9c0,6.6,5.4,12,12,12h39.4h50.5
			h14c20.3,0,38.2,18.4,38.2,39.4v14c0,6.6,5.4,12,12,12s12-5.4,12-12v-14c0-16.1-6.7-32.2-18.3-44.2
			c-11.8-12.2-27.8-19.2-43.9-19.2h-14h-50.5h-27.4v-65.9c0-28.8-8.5-49.6-25.2-61.8c-26.4-19.4-62.6-8.3-64.1-7.9
			c-5,1.6-8.4,6.2-8.4,11.4v75.4c0,24.1-11.5,44.6-34.2,60.9c-18,12.9-36.5,18.3-36.6,18.3s-0.3,0.1-0.4,0.1l-1.4,0.5
			c-4.4-6.6-12-10.9-20.5-10.9H24.7c-13.6,0-24.7,11.1-24.7,24.7v199.9c0,13.6,11.1,24.7,24.7,24.7H91c7,0,13.3-2.9,17.8-7.6
			c11.2,11.6,26.9,18.9,44.3,18.9h58.5h6h53.5c6.6,0,12-5.4,12-12S277.7,411.311,271.1,411.311z M91.7,399.311
			c0,0.4-0.3,0.7-0.7,0.7H24.7c-0.4,0-0.7-0.3-0.7-0.7v-199.9c0-0.4,0.3-0.7,0.7-0.7H91c0.4,0,0.7,0.3,0.7,0.7V399.311z""/>
		<path d=""M471.8,344.211h-16.5v-26.7c0-33.8-27.5-61.2-61.2-61.2s-61.2,27.5-61.2,61.2v26.7h-16.5c-6.6,0-12,5.4-12,12v100.4
			c0,6.6,5.4,12,12,12H472c6.6,0,12-5.4,12-12v-100.4C483.8,349.611,478.4,344.211,471.8,344.211z M356.7,317.611
			c0-20.5,16.7-37.2,37.2-37.2s37.2,16.7,37.2,37.2v26.7h-74.5v-26.7H356.7z M459.8,444.611H328.2v-76.4h131.6V444.611z""/>
	</g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
</svg>
",description : thumb up icon with locka black and white image of a thumb up with a lock,instruct-svg,CC0
"A close-up image of a cell phone, possibly depicted in a black and white style. The image might be related to an application that is free to use on Android, as suggested by the descriptions.","<svg width=""24px"" height=""24px"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M4 5.25C4 3.45507 5.45507 2 7.25 2H12.7145C13.5764 2 14.4031 2.34241 15.0126 2.9519L19.0481 6.98744C19.6576 7.59693 20 8.42358 20 9.28553V18.75C20 20.5449 18.5449 22 16.75 22H7.25C5.45507 22 4 20.5449 4 18.75V5.25ZM7.75 14H12V10.75H9.25C8.42157 10.75 7.75 11.4216 7.75 12.25V14ZM7.75 15.5V16.75C7.75 17.5784 8.42157 18.25 9.25 18.25H12V15.5H7.75ZM13.5 18.25H14.75C15.5784 18.25 16.25 17.5784 16.25 16.75V12.25C16.25 11.4216 15.5784 10.75 14.75 10.75H13.5V18.25Z"" fill=""#212121""/>
</svg>
",description : - the best free to use app for androida close up of a black and white photo of a cell phone,instruct-svg,CC0
"A black and white image of a pie chart with a prohibition symbol overlaying it, indicating a negative or prohibited action related to data or statistics.","<?xml version=""1.0"" encoding=""iso-8859-1""?>
<!-- Generator: Adobe Illustrator 19.0.0, SVG Export Plug-In . SVG Version: 6.00 Build 0)  -->
<svg version=""1.1"" id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" x=""0px"" y=""0px""
	 viewBox=""0 0 512 512"" style=""enable-background:new 0 0 512 512;"" xml:space=""preserve"">
<g>
	<g>
		<path d=""M256,0c-34.877,0-68.138,7.035-98.468,19.722c-0.042,0.018-0.088,0.009-0.13,0.028c-0.03,0.014-0.046,0.039-0.076,0.053
			C65.016,58.514,0,149.799,0,256c0,141.157,114.843,256,256,256s256-114.843,256-256S397.157,0,256,0z M256,18.963
			c61.948,0,118.397,23.914,160.669,62.961L262.015,236.579L173.797,33.681C199.421,24.176,227.111,18.963,256,18.963z M18.963,256
			c0-95.106,56.329-177.259,137.353-214.981l90.99,209.278c0.098,0.227,0.267,0.393,0.381,0.611L81.924,416.669
			C42.877,374.396,18.963,317.949,18.963,256z M256,493.037c-61.948,0-118.396-23.914-160.669-62.961L430.076,95.331
			c39.047,42.273,62.961,98.72,62.961,160.669C493.037,386.704,386.704,493.037,256,493.037z""/>
	</g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
</svg>
",description : no symbol for a circlea black and white image of a circle with a no symbol,instruct-svg,CC0
"A black and white image of a speech bubble, possibly representing a chat or conversation icon, with a line of arrows, possibly indicating message flow or direction.","<?xml version=""1.0"" encoding=""iso-8859-1""?>
<!-- Generator: Adobe Illustrator 19.0.0, SVG Export Plug-In . SVG Version: 6.00 Build 0)  -->
<svg version=""1.1"" id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" x=""0px"" y=""0px""
	 viewBox=""0 0 512 512"" style=""enable-background:new 0 0 512 512;"" xml:space=""preserve"">
<g>
	<g>
		<path d=""M431.253,0H80.725C36.203,0,0,36.224,0,80.747v222.528C0,347.797,36.203,384,80.725,384h68.608v106.667
			c0,10.048,6.997,18.731,16.811,20.843c1.515,0.341,3.008,0.491,4.523,0.491c8.213,0,15.893-4.757,19.413-12.48
			C218.645,436.8,286.379,394.368,304.213,384h127.04C475.776,384,512,347.797,512,303.275V80.747C512,36.224,475.776,0,431.253,0z
			 M402.283,138.987l-64,106.667c-3.072,5.099-8.128,8.704-13.931,9.899c-5.909,1.237-11.904-0.064-16.747-3.52L181.76,162.155
			l-33.536,100.608c-2.987,8.939-11.285,14.592-20.224,14.592c-2.24,0-4.501-0.363-6.763-1.109
			c-11.157-3.733-17.195-15.808-13.483-26.987l42.667-128c2.133-6.421,7.189-11.456,13.632-13.547
			c6.464-2.091,13.483-1.003,19.008,2.923L313.6,203.883l52.096-86.848c6.059-10.091,19.157-13.376,29.269-7.317
			S408.341,128.875,402.283,138.987z""/>
	</g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
</svg>
",description : - message icon for facebooka black and white image of a speech bubble with a line of arrows,instruct-svg,CC0
"A black and white illustration of a vihuela, a guitar-like instrument with a long neck.","<?xml version=""1.0"" encoding=""iso-8859-1""?>
<!-- Generator: Adobe Illustrator 19.0.0, SVG Export Plug-In . SVG Version: 6.00 Build 0)  -->
<svg version=""1.1"" id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" x=""0px"" y=""0px""
	 viewBox=""0 0 511.999 511.999"" style=""enable-background:new 0 0 511.999 511.999;"" xml:space=""preserve"">
<g>
	<g>
		<path d=""M348.21,361.293c-8.531-16.654-11.702-35.972-8.928-54.394c0.725-4.814,1.092-9.744,1.092-14.655
			c0-43.454-28.46-79.864-66.349-88.785v-76.897h16.492L284.763,0h-57.528l-5.753,126.562h18.025v76.541
			c-38.654,8.286-67.882,45.1-67.882,89.14c0,4.912,0.367,9.842,1.092,14.654c2.774,18.424-0.396,37.742-8.928,54.395
			c-7.419,14.483-11.34,30.79-11.34,47.157c0,57.098,46.453,103.551,103.551,103.551S359.55,465.546,359.55,408.448
			C359.55,392.08,355.629,375.775,348.21,361.293z M239.507,239.049c5.166-2.054,10.713-3.184,16.492-3.184
			c6.356,0,12.431,1.367,18.025,3.829v116.98h-34.517V239.049z M290.516,431.461h-69.034v-34.517h69.034V431.461z""/>
	</g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
</svg>
",description : guitar clipart black and whitea black and white image of a guitar with a long neck,instruct-svg,CC0
A black and white graphic representation of a percentage sign,"<?xml version=""1.0"" encoding=""iso-8859-1""?>
<!-- Generator: Adobe Illustrator 19.0.0, SVG Export Plug-In . SVG Version: 6.00 Build 0)  -->
<svg version=""1.1"" id=""Capa_1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" x=""0px"" y=""0px""
	 viewBox=""0 0 490 490"" style=""enable-background:new 0 0 490 490;"" xml:space=""preserve"">
<g>
	<path d=""M96.383,245.798c27.77,0,51.146-10.631,70.106-31.879c18.97-21.247,28.45-51.538,28.45-90.865
		c0-40.38-9.374-70.981-28.133-91.811C148.046,10.422,124.365,0,95.761,0C64.667,0,40.926,11.635,24.563,34.889
		C8.188,58.15,0,86.377,0,119.568c0,42.293,9.163,73.898,27.511,94.827C45.86,235.326,68.814,245.798,96.383,245.798z
		 M62.646,57.724c9.222-12.262,20.781-18.397,34.665-18.397c13.885,0,25.502,6.084,34.83,18.238
		c9.327,12.161,13.991,33.25,13.991,63.273c0,32.564-4.617,54.974-13.839,67.236c-9.233,12.262-20.885,18.397-34.982,18.397
		c-13.673,0-25.186-6.077-34.512-18.238c-9.327-12.154-13.991-33.142-13.991-62.956C48.809,92.51,53.425,69.993,62.646,57.724z""/>
	<polygon points=""143.947,490 392.372,0 346.981,0 97.628,490 	""/>
	<path d=""M390.82,244.21c-31.305,0-55.14,11.576-71.515,34.729c-16.375,23.153-24.563,51.43-24.563,84.832
		c0,42.083,9.174,73.637,27.523,94.676C340.602,479.477,363.556,490,391.126,490c27.993,0,51.464-10.624,70.423-31.871
		C480.52,436.875,490,406.591,490,367.264c0-40.381-9.374-70.99-28.134-91.818C443.106,254.624,419.425,244.21,390.82,244.21z
		 M427.354,432.277c-9.222,12.269-20.992,18.397-35.288,18.397c-13.685,0-25.186-6.127-34.513-18.397
		c-9.326-12.255-13.99-33.192-13.99-62.798c0-32.766,4.605-55.283,13.838-67.546c9.221-12.263,20.874-18.398,34.971-18.398
		c13.884,0,25.503,6.078,34.829,18.239c9.327,12.161,13.991,33.249,13.991,63.266C441.191,397.605,436.574,420.022,427.354,432.277z
		""/>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
</svg>
",description : % sign with a black and white backgrounda black and white image of a percentage sign with a zero symbol,instruct-svg,CC0
"A logo that may represent the Mie region in Japan, possibly incorporating elements of the Philadelphia Flyers' official logo, rendered in black and white.","<?xml version=""1.0"" encoding=""iso-8859-1""?>
<!-- Generator: Adobe Illustrator 16.0.0, SVG Export Plug-In . SVG Version: 6.00 Build 0)  -->
<!DOCTYPE svg PUBLIC ""-//W3C//DTD SVG 1.1//EN"" ""http://www.w3.org/Graphics/SVG/1.1/DTD/svg11.dtd"">
<svg version=""1.1"" id=""Capa_1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" x=""0px"" y=""0px""
	 width=""101.333px"" height=""101.333px"" viewBox=""0 0 101.333 101.333"" style=""enable-background:new 0 0 101.333 101.333;""
	 xml:space=""preserve"">
<g>
	<path d=""M101.333,16.45l-14.651,3.214l-27.127,39.22l-1.979-1.998l25.365-36.06L31.229,32.7c5.367,2.125,10.495,3.37,16.45,11.676
		h-2.904l0.016,0.154c-4.578-5.893-11.731-9.687-19.771-9.687C11.202,34.842,0,46.045,0,59.864s11.202,25.02,25.02,25.02
		c9.992,0,18.614-5.857,22.625-14.324l2.178,1.905c-2.641,5.298-6.721,8.931-11.742,12.419H53.6l3.56-4.938l4.938,4.938
		l9.659-13.872l-4.866-4.866L101.333,16.45z M25.055,68.69c-4.934,0-8.934-4.002-8.933-8.936c-0.001-4.934,3.999-8.936,8.933-8.936
		c4.935,0,8.935,4.002,8.933,8.936C33.99,64.688,29.99,68.69,25.055,68.69z""/>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
</svg>
",description : - the official logo of the philadelphia flyersa black and white photo of a logo for a company,instruct-svg,CC0
"A black and white image featuring a square-shaped button with one rounded corner, prominently displaying the letter 'V'. The background of the image is black, making the 'V' symbol stand out.","<?xml version=""1.0"" encoding=""iso-8859-1""?>
<!-- Generator: Adobe Illustrator 16.0.0, SVG Export Plug-In . SVG Version: 6.00 Build 0)  -->
<!DOCTYPE svg PUBLIC ""-//W3C//DTD SVG 1.1//EN"" ""http://www.w3.org/Graphics/SVG/1.1/DTD/svg11.dtd"">
<svg version=""1.1"" id=""Capa_1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" x=""0px"" y=""0px""
	 width=""94.049px"" height=""94.049px"" viewBox=""0 0 94.049 94.049"" style=""enable-background:new 0 0 94.049 94.049;""
	 xml:space=""preserve"">
<g>
	<path d=""M67.911,0.064L0.032,0v67.941v26.107h93.984V26.171C94.017,11.752,82.329,0.064,67.911,0.064z M67.128,82.34H60.22
		L47.024,42.102h7.557l9.34,30.25l7.84-23.557h-6.062v-6.693h15.818L67.128,82.34z""/>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
<g>
</g>
</svg>
",description : - the best free font generator for designersa black and white photo of a v symbol on a black background,instruct-svg,CC0
